Time (s),I,II,III,AVR,AVL,AVF,V1,V2,V3,V4,V5,V6
0.124,0.1005,-0.19734,-0.3347,0.11168,0.2212,-0.26056,0.26162,0.16328,0.19926,0.19838,-0.0131,-0.23206
0.126,0.08442,-0.19734,-0.31784,0.12658,0.20452,-0.2553,0.26662,0.16538,0.19926,0.19838,-0.00874,-0.22834
0.128,0.06028,-0.20708,-0.31784,0.13402,0.18782,-0.2553,0.26662,0.16748,0.20106,0.19838,-0.00656,-0.22092
0.13,0.06832,-0.21194,-0.32346,0.13402,0.20452,-0.26582,0.26662,0.16748,0.20286,0.19666,-0.00656,-0.22092
0.132,0.06832,-0.20708,-0.31784,0.13402,0.19616,-0.26056,0.26662,0.16538,0.19926,0.19324,-0.01092,-0.22834
0.134,0.06028,-0.19734,-0.30658,0.12658,0.17946,-0.25002,0.26662,0.16748,0.20106,0.19666,-0.00656,-0.22464
0.136,0.0442,-0.19734,-0.29534,0.13402,0.16276,-0.24476,0.27658,0.16956,0.20466,0.19838,-0.00218,-0.2172
0.138,0.05224,-0.20708,-0.3122,0.14146,0.17946,-0.2553,0.28156,0.17166,0.20466,0.19838,-0.00436,-0.22464
0.14,0.0442,-0.21682,-0.31784,0.14892,0.17946,-0.26056,0.27658,0.16956,0.20466,0.2001,-0.00656,-0.22834
0.142,0.03616,-0.21682,-0.3122,0.15636,0.17112,-0.26056,0.2716,0.16748,0.20106,0.19838,-0.00656,-0.22834
0.144,0.03616,-0.21682,-0.3122,0.15636,0.17112,-0.26056,0.26662,0.16538,0.20106,0.19838,-0.00436,-0.22834
0.146,0.0442,-0.21682,-0.31784,0.14892,0.17946,-0.26056,0.2716,0.16748,0.20106,0.19666,-0.00436,-0.22834
0.148,0.0442,-0.2217,-0.31784,0.15636,0.18782,-0.26582,0.26662,0.16538,0.20106,0.19324,-0.00656,-0.22834
0.15,0.0442,-0.22656,-0.32346,0.15636,0.18782,-0.27108,0.26662,0.16328,0.19926,0.19152,-0.01092,-0.23206
